DATE,OPEN,HIGH,LOW,CLOSE
2012/9/5,1.257,1.2628,1.2554,1.2598
2012/9/6,1.2598,1.2624,1.2501,1.2639
2012/9/7,1.2639,1.2652,1.256,1.2798
2012/9/10,1.2798,1.2807,1.2623,1.2761
2012/9/11,1.2761,1.2812,1.2755,1.2855
2012/9/12,1.2855,1.2871,1.2758,1.2895
2012/9/13,1.2895,1.2937,1.2816,1.2988
2012/9/14,1.2988,1.3002,1.2855,1.3122
2012/9/17,1.3122,1.3169,1.2977,1.3101
2012/9/18,1.3101,1.3172,1.3081,1.3035
2012/9/19,1.3035,1.3119,1.3027,1.3056
2012/9/20,1.3056,1.3085,1.2991,1.2969
2012/9/21,1.2969,1.3059,1.2919,1.2989
2012/9/24,1.2989,1.3048,1.2955,1.2927
2012/9/25,1.2927,1.299,1.289,1.2906
2012/9/26,1.2906,1.2971,1.2886,1.2857
2012/9/27,1.2857,1.2913,1.2836,1.2914
2012/9/28,1.2914,1.2928,1.2829,1.2844
2012/10/1,1.2844,1.296,1.2838,1.288
2012/10/2,1.288,1.2939,1.2804,1.2919
2012/10/3,1.2919,1.2968,1.288,1.29
2012/10/4,1.29,1.2937,1.2878,1.3014
2012/10/5,1.3014,1.3031,1.2908,1.3017
2012/10/8,1.3017,1.3071,1.2994,1.2972
2012/10/9,1.2972,1.3027,1.2938,1.2873
2012/10/10,1.2873,1.2991,1.2858,1.2894
2012/10/11,1.2894,1.2913,1.2836,1.293
2012/10/12,1.293,1.2952,1.2826,1.2956
2012/10/15,1.2956,1.2992,1.2923,1.2951
2012/10/16,1.2951,1.298,1.2891,1.3045
2012/10/17,1.3045,1.3061,1.2943,1.3123
2012/10/18,1.3123,1.314,1.3084,1.3068
2012/10/19,1.3068,1.313,1.3054,1.3021
2012/10/22,1.3021,1.3078,1.3012,1.3049
2012/10/23,1.3049,1.3083,1.3016,1.2977
2012/10/24,1.2977,1.3076,1.2951,1.2964
2012/10/25,1.2964,1.2997,1.292,1.2945
2012/10/26,1.2945,1.3023,1.2938,1.2934
2012/10/29,1.2934,1.2956,1.2883,1.2898
2012/10/30,1.2898,1.2968,1.2883,1.2962
2012/10/31,1.2962,1.2983,1.2886,1.292
2012/11/1,1.292,1.302,1.2942,1.2936
2012/11/2,1.2936,1.2983,1.2923,1.2832
2012/11/5,1.2832,1.2951,1.2819,1.2794
2012/11/6,1.2794,1.2842,1.2766,1.281
2012/11/7,1.281,1.2827,1.2763,1.2765
2012/11/8,1.2765,1.2876,1.2734,1.2745
2012/11/9,1.2745,1.278,1.2717,1.2711
2012/11/12,1.2711,1.279,1.2689,1.271
2012/11/13,1.271,1.2739,1.2698,1.2705
2012/11/14,1.2705,1.2728,1.2662,1.2732
2012/11/15,1.2732,1.2779,1.27,1.2763
2012/11/16,1.2763,1.2802,1.2718,1.2734
2012/11/19,1.2734,1.2785,1.2691,1.2804
2012/11/20,1.2804,1.282,1.2734,1.2815
2012/11/21,1.2815,1.283,1.2765,1.2825
2012/11/22,1.2825,1.2833,1.2737,1.2871
2012/11/23,1.2871,1.2899,1.2826,1.2982
2012/11/26,1.2982,1.2991,1.2869,1.297
2012/11/27,1.297,1.2985,1.2945,1.2932
2012/11/28,1.2932,1.3009,1.2914,1.2934
2012/11/29,1.2934,1.2946,1.2879,1.2973
2012/11/30,1.2973,1.3014,1.2939,1.3006
2012/12/3,1.3006,1.3027,1.2966,1.3051
2012/12/4,1.3051,1.3076,1.2973,1.3098
2012/12/5,1.3098,1.3108,1.3046,1.3079
2012/12/6,1.3079,1.3126,1.3058,1.2965
2012/12/7,1.2965,1.3087,1.2951,1.2927
2012/12/10,1.2927,1.2974,1.2877,1.2935
2012/12/11,1.2935,1.2943,1.2885,1.3002
2012/12/12,1.3002,1.3015,1.2929,1.3064
2012/12/13,1.3064,1.3097,1.2996,1.3073
2012/12/14,1.3073,1.31,1.3041,1.3154
2012/12/17,1.3154,1.3173,1.3066,1.316
2012/12/18,1.316,1.3188,1.3143,1.3224
2012/12/19,1.3224,1.3238,1.3156,1.3247
2012/12/20,1.3247,1.3308,1.3223,1.3243
2012/12/21,1.3243,1.3295,1.3189,1.3178
2012/12/24,1.3178,1.3252,1.3154,1.3173
2012/12/25,1.3173,1.3234,1.317,1.3191
2012/12/26,1.3191,1.3207,1.3167,1.3218
2012/12/27,1.3218,1.3254,1.3167,1.3242
2012/12/28,1.3242,1.3284,1.3199,1.3219
2012/12/31,1.3219,1.3257,1.3166,1.3188
2013/1/1,1.3188,1.3235,1.317,1.3219
2013/1/2,1.3219,1.322,1.319,1.3177
2013/1/3,1.3177,1.3299,1.3154,1.305
2013/1/4,1.305,1.3191,1.3049,1.308
2013/1/7,1.308,1.3089,1.2995,1.3106
2013/1/8,1.3106,1.3119,1.3016,1.3083
2013/1/9,1.3083,1.314,1.3057,1.3064
2013/1/10,1.3064,1.3096,1.3035,1.3254
2013/1/11,1.3254,1.3266,1.3039,1.3334
2013/1/14,1.3334,1.3365,1.3246,1.3387
2013/1/15,1.3387,1.3404,1.3336,1.3311
2013/1/16,1.3311,1.3394,1.3264,1.3282
2013/1/17,1.3282,1.3325,1.3256,1.3374
2013/1/18,1.3374,1.3388,1.327,1.3318
2013/1/21,1.3318,1.34,1.3279,1.3317
2013/1/22,1.3317,1.3332,1.33,1.3313
2013/1/23,1.3313,1.3371,1.3267,1.3315
2013/1/24,1.3315,1.3355,1.3264,1.3375
2013/1/25,1.3375,1.3393,1.3287,1.3458
2013/1/28,1.3458,1.348,1.335,1.3454
2013/1/29,1.3454,1.3477,1.3425,1.3491
2013/1/30,1.3491,1.3497,1.3413,1.3566
2013/1/31,1.3566,1.3587,1.3482,1.3577
2013/2/1,1.3577,1.3594,1.3538,1.3651
2013/2/4,1.3651,1.3711,1.3574,1.3511
2013/2/5,1.3511,1.3659,1.3503,1.3584
2013/2/6,1.3584,1.3597,1.3459,1.3522
2013/2/7,1.3522,1.3596,1.3494,1.3396
2013/2/8,1.3396,1.3577,1.3371,1.3363
2013/2/11,1.3363,1.3429,1.335,1.3398
2013/2/12,1.3398,1.3427,1.3337,1.3447
2013/2/13,1.3447,1.3475,1.3364,1.345
2013/2/14,1.345,1.352,1.3424,1.3354
2013/2/15,1.3354,1.3456,1.3315,1.3362
2013/2/18,1.3362,1.3393,1.3304,1.3349
2013/2/19,1.3349,1.3379,1.3322,1.339
2013/2/20,1.339,1.3396,1.3326,1.3283
2013/2/21,1.3283,1.3434,1.3273,1.3182
2013/2/22,1.3182,1.329,1.316,1.3184
2013/2/25,1.3184,1.3245,1.3146,1.3089
2013/2/26,1.3089,1.3318,1.3069,1.3054
2013/2/27,1.3054,1.3122,1.3019,1.3136
