DATE,OPEN,HIGH,LOW,CLOSE
2008/9/18,104.99,106.7,104.38,105.63
2008/9/19,105.63,105.58,103.98,107.01
2008/9/22,107.01,108.03,105.4,105.17
2008/9/23,105.17,107.18,105.15,105.38
2008/9/24,105.38,106.07,105.18,105.89
2008/9/25,105.89,106.35,105.36,106.35
2008/9/26,106.35,107.02,105.47,106.05
2008/9/29,106.05,106.52,105.04,104.13
2008/9/30,104.13,106.96,104.17,106.43
2008/10/1,106.43,106.48,103.5,105.82
2008/10/2,105.82,106.54,105.33,105.24
2008/10/3,105.24,106.29,105.11,105.37
2008/10/6,105.37,106.15,104.5,100.65
2008/10/7,100.65,105.13,100.24,101.75
2008/10/8,101.75,103.28,101.28,100.34
2008/10/9,100.34,101.73,98.6,99.96
2008/10/10,99.96,101.49,98.9,100.27
2008/10/13,100.27,100.72,97.92,101.01
2008/10/14,101.01,101.28,99.57,101.98
2008/10/15,101.98,103.06,101.51,100.07
2008/10/16,100.07,102.25,100.04,101.38
2008/10/17,101.38,101.61,99.26,101.63
2008/10/20,101.63,101.82,100.61,101.87
2008/10/21,101.87,103.41,101.37,100.38
2008/10/22,100.38,102.15,100.17,97.7
2008/10/23,97.7,100.55,97.23,96.9
2008/10/24,96.9,98.32,95.95,94.48
2008/10/27,94.48,98.08,90.94,93.95
2008/10/28,93.95,94.48,91.92,97.62
2008/10/29,97.62,98.4,92.48,97.33
2008/10/30,97.33,99.7,96.09,97.47
2008/10/31,97.47,99.13,97.35,98.71
2008/11/3,98.71,99.13,96.37,98.99
2008/11/4,98.99,99.65,98.23,99.69
2008/11/5,99.69,100.55,98.38,98.93
2008/11/6,98.93,99.91,98.26,97.77
2008/11/7,97.77,98.68,97.49,98.12
2008/11/10,98.12,98.68,96.77,97.85
2008/11/11,97.85,99.48,97.62,97.78
2008/11/12,97.78,98.3,97.31,95.44
2008/11/13,95.44,98.08,94.48,97.64
2008/11/14,97.64,98.27,94.53,97.64
2008/11/17,97.64,98.08,96.1,96.97
2008/11/18,96.97,97.55,95.88,96.64
2008/11/19,96.64,96.78,96.03,95.79
2008/11/20,95.79,97.1,95.7,94.11
2008/11/21,94.11,96.24,93.7,95.93
2008/11/24,95.93,95.98,93.67,96.91
2008/11/25,96.91,96.96,94.95,95.47
2008/11/26,95.47,97.41,95.1,95.47
2008/11/27,95.47,95.55,94.6,95.51
2008/11/28,95.51,95.75,94.99,95.68
2008/12/1,95.68,95.74,95.15,93.35
2008/12/2,93.35,95.55,93.06,93.15
2008/12/3,93.15,93.83,92.63,93.04
2008/12/4,93.04,93.63,92.54,92.3
2008/12/5,92.3,93.41,92.23,92.96
2008/12/8,92.96,93.38,91.58,92.98
2008/12/9,92.98,93.9,92.58,92.12
2008/12/10,92.12,93.06,91.94,92.65
2008/12/11,92.65,93.03,92.12,91.73
2008/12/12,91.73,92.87,91.17,90.99
2008/12/15,90.99,91.85,88.2,90.54
2008/12/16,90.54,91.35,90.25,88.78
2008/12/17,88.78,90.73,88.65,87.4
2008/12/18,87.4,89.21,87.15,89.37
2008/12/19,89.37,90.02,87.19,89.45
2008/12/22,89.45,89.87,88.43,90.07
2008/12/23,90.07,90.47,89.14,90.89
2008/12/24,90.89,90.92,89.91,90.69
2008/12/25,90.69,90.98,90.25,90.49
2008/12/26,90.49,90.64,90.25,90.66
2008/12/29,90.66,90.84,90.35,90.65
2008/12/30,90.65,90.74,89.75,90.29
2008/12/31,90.29,90.99,90.04,90.8
2009/1/1,90.8,90.9,90.15,90.8
2009/1/2,90.8,90.8,90.8,92.21
2009/1/5,92.21,92.4,90.72,93.2
2009/1/6,93.2,93.56,91.8,93.96
2009/1/7,93.96,94.65,92.85,92.68
2009/1/8,92.68,94.12,92.45,91.41
2009/1/9,91.41,92.91,90.85,90.47
2009/1/12,90.47,91.65,90.15,89
2009/1/13,89,90.25,88.9,89.05
2009/1/14,89.05,89.88,88.8,89.11
2009/1/15,89.11,89.96,88.6,89.66
2009/1/16,89.66,90.02,88.48,90.58
2009/1/19,90.58,90.91,89.76,90.42
2009/1/20,90.42,91.3,90.17,89.76
2009/1/21,89.76,90.97,89.68,89.47
2009/1/22,89.47,90.17,87.11,88.87
2009/1/23,88.87,89.55,88.08,88.87
2009/1/26,88.87,89.63,87.98,88.98
2009/1/27,88.98,89.69,88.28,88.89
2009/1/28,88.89,90.07,88.43,90.3
2009/1/29,90.3,90.75,88.88,89.86
2009/1/30,89.86,90.65,89.48,89.85
2009/2/2,89.85,90.14,89.17,89.58
2009/2/3,89.58,90.01,88.82,89.23
2009/2/4,89.23,89.99,88.6,89.53
2009/2/5,89.53,89.69,88.84,91.46
2009/2/6,91.46,92.25,89.2,92.09
2009/2/9,92.09,92.21,90.74,91.43
2009/2/10,91.43,92.12,90.9,90.25
2009/2/11,90.25,91.65,90.15,90.5
2009/2/12,90.5,90.75,89.71,90.71
2009/2/13,90.71,90.75,89.82,91.83
2009/2/16,91.83,92.05,90.55,91.81
2009/2/17,91.81,92.08,91.15,92.43
2009/2/18,92.43,92.75,91.57,93.78
2009/2/19,93.78,93.96,92.1,94.41
2009/2/20,94.41,94.47,93.31,93.06
2009/2/23,93.06,94.38,92.53,94.48
2009/2/24,94.48,94.95,92.77,96.87
2009/2/25,96.87,96.94,94.26,97.66
2009/2/26,97.66,97.79,96.36,98.3
2009/2/27,98.3,98.71,97.33,97.79
2009/3/2,97.79,98.52,96.86,97.72
2009/3/3,97.72,97.91,96.92,98.33
2009/3/4,98.33,98.59,97.03,99.06
2009/3/5,99.06,99.48,98.2,99.06
2009/3/6,99.06,99.68,98,98.29
2009/3/9,98.29,98.5,96.58,98.83
2009/3/10,98.83,99.19,97.9,98.82
2009/3/11,98.82,99.14,97.9,97.24
2009/3/12,97.24,98.85,97.04,97.6
2009/3/13,97.6,98.52,95.69,98.02
2009/3/16,98.02,98.66,97.15,98.27
2009/3/17,98.27,98.65,97.57,98.47
2009/3/18,98.47,98.97,98.11,96.13
2009/3/19,96.13,98.83,95.68,94.45
2009/3/20,94.45,96.6,93.55,95.96
2009/3/23,95.96,96.25,94.15,97.05
2009/3/24,97.05,97.35,95.43,97.79
2009/3/25,97.79,98.56,96.95,97.27
2009/3/26,97.27,98.35,96.92,98.5
2009/3/27,98.5,98.72,97.48,98.04
2009/3/30,98.04,98.86,97.1,97.07
2009/3/31,97.07,98.32,95.95,97.08
2009/4/1,97.08,99.37,97.29,97.08
2009/4/2,97.08,99.48,98.23,99.65
2009/4/3,99.65,99.91,98.4,100.29
2009/4/6,100.29,100.37,99.34,100.92
2009/4/7,100.92,101.44,99.9,100.48
2009/4/8,100.48,101.09,99.86,100.48
2009/4/9,100.48,100.87,99.45,100.5
2009/4/10,100.5,100.57,99.65,100.55
2009/4/13,100.55,100.72,100.22,100.03
2009/4/14,100.03,100.87,99.45,98.85
2009/4/15,98.85,100.43,98.75,99.21
2009/4/16,99.21,99.67,98.15,99.33
2009/4/17,99.33,99.51,98.54,99.22
2009/4/20,99.22,99.75,98.71,97.85
2009/4/21,97.85,99.4,97.66,98.72
2009/4/22,98.72,98.91,97.74,98.16
2009/4/23,98.16,98.7,97.57,97.9
2009/4/24,97.9,98.45,97.64,97.04
2009/4/27,97.04,98.14,96.65,96.72
2009/4/28,96.72,97.11,96.44,96.44
2009/4/29,96.44,96.7,95.63,97.47
2009/4/30,97.47,98,96.44,98.63
2009/5/1,98.63,99,97.15,99.36
2009/5/4,99.36,99.59,98.73,98.91
2009/5/5,98.91,99.56,98.74,98.98
2009/5/6,98.98,99.22,98.6,98.35
2009/5/7,98.35,99.08,97.94,98.35
2009/5/8,98.35,99.8,98.4,98.39
2009/5/11,98.39,99.6,98.32,97.44
2009/5/12,97.44,98.8,97.27,96.39
2009/5/13,96.39,97.84,96.11,95.28
2009/5/14,95.28,96.7,95.23,95.71
2009/5/15,95.71,95.88,95.11,95.06
2009/5/18,95.06,96.08,94.74,96.39
2009/5/19,96.39,96.47,94.55,96.08
2009/5/20,96.08,96.71,95.91,94.75
2009/5/21,94.75,96.21,94.7,94.21
2009/5/22,94.21,95.09,93.98,94.89
2009/5/25,94.89,94.92,93.87,94.79
2009/5/26,94.79,95.2,94.43,94.97
2009/5/27,94.97,95.15,94.51,95.21
2009/5/28,95.21,95.51,94.66,96.95
2009/5/29,96.95,97.24,95.25,95.28
2009/6/1,95.28,96.9,95,96.73
2009/6/2,96.73,96.78,94.44,95.65
2009/6/3,95.65,96.64,95.32,95.85
2009/6/4,95.85,96.42,95.4,96.88
2009/6/5,96.88,96.98,95.95,98.84
2009/6/8,98.84,98.89,96.56,98.37
2009/6/9,98.37,98.87,98.21,97.37
2009/6/10,97.37,98.55,97.22,98.26
2009/6/11,98.26,98.44,97.09,97.54
2009/6/12,97.54,98.56,97.26,98.22
2009/6/15,98.22,98.42,97.5,97.65
2009/6/16,97.65,98.58,97.59,96.53
2009/6/17,96.53,97.72,96.08,95.59
2009/6/18,95.59,96.77,95.55,96.61
2009/6/19,96.61,96.69,95.62,96.22
2009/6/22,96.22,97.18,96,95.97
2009/6/23,95.97,96.28,95.71,95.24
2009/6/24,95.24,95.89,94.88,95.77
2009/6/25,95.77,96.05,95.06,95.81
2009/6/26,95.81,96.57,95.66,95.17
2009/6/29,95.17,96.05,95.05,96.01
2009/6/30,96.01,96.17,95.17,96.35
2009/7/1,96.35,96.51,95.32,96.51
2009/7/2,96.51,96.98,96.17,95.83
2009/7/3,95.83,96.88,95.7,96.07
2009/7/6,96.07,96.14,95.67,95.29
2009/7/7,95.29,95.87,94.66,94.8
2009/7/8,94.8,95.46,94.71,92.44
2009/7/9,92.44,94.73,91.8,92.86
2009/7/10,92.86,93.6,92.38,92.32
2009/7/13,92.32,93.18,91.97,92.93
2009/7/14,92.93,92.99,91.74,93.31
2009/7/15,93.31,93.37,92.81,94.4
2009/7/16,94.4,94.46,93.26,93.71
2009/7/17,93.71,94.45,93.27,94.24
2009/7/20,94.24,94.37,93.49,94.21
2009/7/21,94.21,94.79,94.17,93.61
2009/7/22,93.61,94.39,93.29,93.53
2009/7/23,93.53,93.87,93.1,95.13
2009/7/24,95.13,95.3,93.57,94.7
2009/7/27,94.7,95.16,94.59,95.21
2009/7/28,95.21,95.38,94.67,94.47
2009/7/29,94.47,95.18,94.04,95
2009/7/30,95,95.36,94.02,95.59
2009/7/31,95.59,95.89,94.84,94.78
2009/8/3,94.78,95.84,94.51,95.31
2009/8/4,95.31,95.43,94.56,95.27
2009/8/5,95.27,95.46,94.37,94.95
2009/8/6,94.95,95.38,94.63,95.44
2009/8/7,95.44,95.8,94.81,97.59
2009/8/10,97.59,97.78,95.05,97.04
2009/8/11,97.04,97.72,96.92,96.02
2009/8/12,96.02,97.14,95.77,96.13
2009/8/13,96.13,96.75,95.13,95.27
2009/8/14,95.27,96.48,95.05,94.87
2009/8/17,94.87,95.47,94.43,94.48
2009/8/18,94.48,94.86,94.21,94.64
2009/8/19,94.64,95.3,94.35,93.92
2009/8/20,93.92,94.85,93.66,94.14
2009/8/21,94.14,94.56,93.87,94.31
2009/8/24,94.31,94.72,93.43,94.51
2009/8/25,94.51,95.06,94.37,94.18
2009/8/26,94.18,94.63,93.78,94.14
2009/8/27,94.14,94.57,93.88,93.45
2009/8/28,93.45,94.15,93.22,93.59
2009/8/31,93.59,94.07,93.43,92.99
2009/9/1,92.99,93.56,92.54,92.94
2009/9/2,92.94,93.45,92.86,92.15
2009/9/3,92.15,93.05,92.11,92.55
2009/9/4,92.55,92.69,91.95,92.99
2009/9/7,92.99,93.26,92.3,92.88
2009/9/8,92.88,93.3,92.84,92.2
2009/9/9,92.2,93.08,92.04,92.12
2009/9/10,92.12,92.59,91.51,91.78
2009/9/11,91.78,92.26,91.41,90.58
2009/9/14,90.58,91.78,90.22,90.82
2009/9/15,90.82,91.13,90.22,91.04
2009/9/16,91.04,91.64,90.83,90.83
2009/9/17,90.83,91.36,90.13,91.16
2009/9/18,91.16,91.62,90.51,91.38
2009/9/21,91.38,91.54,91.04,92.06
2009/9/22,92.06,92.53,91.32,91.18
2009/9/23,91.18,92.06,90.94,91.32
2009/9/24,91.32,91.54,90.51,91.26
2009/9/25,91.26,91.62,90.36,89.83
2009/9/28,89.83,91.35,89.52,89.65
2009/9/29,89.65,89.78,88.26,90.22
2009/9/30,90.22,90.34,89.63,89.77
2009/10/1,89.77,90.41,89.33,89.75
